id,question,reference_answer,category,difficulty,source_file,source_page_pdf,expected_keywords
"1","Nhà nước đầu tiên của người Việt cổ có tên là gì?","Văn Lang.","Cổ đại","dễ","Lịch sử Việt Nam 1.pdf","120","Văn|Lang"
"2","Kinh đô của nước Văn Lang đặt ở đâu?","Phong Châu (khu vực Việt Trì, Phú Thọ ngày nay).","Cổ đại","dễ","Lịch sử Việt Nam 1.pdf","82","Phong|Châu|khu|vực|Việt|Trì|Phú|Thọ"
"3","Ai là người đứng đầu nhà nước Âu Lạc?","Thục Phán, xưng là An Dương Vương.","Cổ đại","dễ","Lịch sử Việt Nam 1.pdf","141","Thục|Phán|xưng|Dương|Vương"
"4","Kinh đô của nước Âu Lạc được đặt ở đâu?","Cổ Loa (Phong Khê).","Cổ đại","dễ","Lịch sử Việt Nam 1.pdf","175","Loa|Phong|Khê"
"5","Khởi nghĩa Hai Bà Trưng bùng nổ vào năm nào?","Năm 40.","Bắc thuộc","dễ","Lịch sử Việt Nam 1.pdf","217","40"
"6","Sau thắng lợi, Hai Bà Trưng đóng đô ở đâu?","Mê Linh.","Bắc thuộc","dễ","Lịch sử Việt Nam 1.pdf","218","Linh"
"7","Khởi nghĩa Bà Triệu nổ ra vào năm nào?","Năm 248.","Bắc thuộc","dễ","Lịch sử Việt Nam 1.pdf","276","248"
"8","Lý Bí đặt quốc hiệu là gì sau khi giành thắng lợi?","Vạn Xuân.","Bắc thuộc","dễ","Lịch sử Việt Nam 1.pdf","289","Vạn|Xuân"
"9","Ai giành quyền tự chủ ở Tống Bình vào năm 905?","Khúc Thừa Dụ.","Tự chủ","dễ","Lịch sử Việt Nam 2.pdf","28","Khúc|Thừa"
"10","Ai chỉ huy chiến thắng Bạch Đằng năm 938?","Ngô Quyền.","Tự chủ","dễ","Lịch sử Việt Nam 2.pdf","40","Ngô|Quyền"
"11","Sau chiến thắng Bạch Đằng, Ngô Quyền định đô ở đâu?","Cổ Loa.","Tự chủ","dễ","Lịch sử Việt Nam 2.pdf","59","Loa"
"12","Ai dẹp loạn 12 sứ quân và thống nhất đất nước?","Đinh Bộ Lĩnh.","Thế kỷ X","dễ","Lịch sử Việt Nam 2.pdf","98","Đinh|Lĩnh"
